,Month-Year,Temperature,Rainfall
0,JAN-1980.0,18.81,11.377777777777776
1,FEB-1980.0,20.47,18.519444444444446
2,MAR-1980.0,23.24,31.355555555555554
3,APR-1980.0,27.55,41.17777777777778
4,MAY-1980.0,28.94,84.33055555555556
5,JUN-1980.0,28.25,290.2916666666667
6,JUL-1980.0,27.33,355.1194444444444
7,AUG-1980.0,26.93,314.8861111111111
8,SEP-1980.0,26.55,156.73055555555555
9,OCT-1980.0,25.12,68.32777777777778
10,NOV-1980.0,22.15,31.5
11,DEC-1980.0,19.23,33.297222222222224
12,JAN-1981.0,18.4,25.855555555555554
13,FEB-1981.0,20.44,19.319444444444443
14,MAR-1981.0,23.26,43.06388888888889
15,APR-1981.0,26.65,43.075
16,MAY-1981.0,28.51,88.025
17,JUN-1981.0,28.4,229.9944444444444
18,JUL-1981.0,27.28,357.7444444444444
19,AUG-1981.0,26.85,288.19166666666666
20,SEP-1981.0,26.36,218.1888888888889
21,OCT-1981.0,24.74,58.666666666666664
22,NOV-1981.0,21.43,39.68611111111111
23,DEC-1981.0,18.87,19.63888888888889
24,JAN-1982.0,18.76,21.019444444444446
25,FEB-1982.0,19.52,21.28611111111111
26,MAR-1982.0,22.37,43.59722222222222
27,APR-1982.0,26.15,54.202777777777776
28,MAY-1982.0,27.72,72.05
29,JUN-1982.0,28.2,195.91944444444445
30,JUL-1982.0,27.68,295.84722222222223
31,AUG-1982.0,26.98,317.93888888888887
32,SEP-1982.0,26.4,141.4388888888889
33,OCT-1982.0,24.89,59.78055555555555
34,NOV-1982.0,21.84,53.83611111111111
35,DEC-1982.0,19.33,13.216666666666667
36,JAN-1983.0,18.38,17.969444444444445
37,FEB-1983.0,19.81,22.133333333333333
38,MAR-1983.0,22.68,36.43611111111111
39,APR-1983.0,25.67,56.03055555555555
40,MAY-1983.0,28.02,85.36388888888888
41,JUN-1983.0,28.6,200.8111111111111
42,JUL-1983.0,27.51,339.2388888888889
43,AUG-1983.0,27.14,361.9944444444444
44,SEP-1983.0,26.48,287.15277777777777
45,OCT-1983.0,24.56,98.31944444444444
46,NOV-1983.0,21.5,20.36111111111111
47,DEC-1983.0,19.08,25.447222222222223
48,JAN-1984.0,18.28,21.174999999999997
49,FEB-1984.0,19.42,39.03333333333333
50,MAR-1984.0,23.98,24.602777777777778
51,APR-1984.0,26.66,51.24444444444444
52,MAY-1984.0,28.88,75.96944444444445
53,JUN-1984.0,28.43,263.27777777777777
54,JUL-1984.0,26.94,349.3527777777778
55,AUG-1984.0,27.17,261.25555555555553
56,SEP-1984.0,25.83,163.4388888888889
57,OCT-1984.0,24.65,87.78888888888889
58,NOV-1984.0,21.47,21.672222222222224
59,DEC-1984.0,19.34,25.369444444444444
60,JAN-1985.0,18.67,20.413888888888888
61,FEB-1985.0,20.54,9.780555555555557
62,MAR-1985.0,24.6,21.955555555555556
63,APR-1985.0,27.02,40.763888888888886
64,MAY-1985.0,28.52,83.08333333333333
65,JUN-1985.0,28.05,236.42777777777778
66,JUL-1985.0,27.06,324.7416666666666
67,AUG-1985.0,26.9,263.71666666666664
68,SEP-1985.0,26.45,166.65555555555557
69,OCT-1985.0,24.33,129.49166666666667
70,NOV-1985.0,21.51,25.969444444444445
71,DEC-1985.0,19.68,26.52777777777778
72,JAN-1986.0,18.24,13.247222222222222
73,FEB-1986.0,20.0,30.422222222222224
74,MAR-1986.0,23.53,23.23611111111111
75,APR-1986.0,26.53,48.38055555555556
76,MAY-1986.0,27.75,63.33888888888888
77,JUN-1986.0,28.19,238.7277777777778
78,JUL-1986.0,27.3,279.2111111111111
79,AUG-1986.0,26.75,264.68611111111113
80,SEP-1986.0,26.43,156.98333333333332
81,OCT-1986.0,24.48,84.88333333333334
82,NOV-1986.0,21.89,55.40833333333333
83,DEC-1986.0,19.38,24.280555555555555
84,JAN-1987.0,18.44,14.036111111111111
85,FEB-1987.0,20.41,18.75277777777778
86,MAR-1987.0,23.45,24.938888888888886
87,APR-1987.0,26.59,44.075
88,MAY-1987.0,27.51,72.86666666666666
89,JUN-1987.0,28.9,189.2
90,JUL-1987.0,28.16,253.2611111111111
91,AUG-1987.0,27.34,300.4944444444444
92,SEP-1987.0,27.13,172.27222222222224
93,OCT-1987.0,25.03,110.40277777777777
94,NOV-1987.0,22.14,54.69722222222222
95,DEC-1987.0,19.75,33.53888888888889
96,JAN-1988.0,18.58,6.958333333333333
97,FEB-1988.0,20.83,25.572222222222223
98,MAR-1988.0,23.51,47.65277777777778
99,APR-1988.0,26.6,47.81388888888889
100,MAY-1988.0,28.6,92.62777777777778
101,JUN-1988.0,28.37,204.84722222222223
102,JUL-1988.0,27.12,445.6388888888889
103,AUG-1988.0,26.91,350.0111111111111
104,SEP-1988.0,26.48,265.64444444444445
105,OCT-1988.0,24.79,66.79444444444444
106,NOV-1988.0,21.63,33.49722222222223
107,DEC-1988.0,19.64,18.413888888888888
108,JAN-1989.0,17.68,16.91111111111111
109,FEB-1989.0,19.85,13.466666666666667
110,MAR-1989.0,23.0,25.625
111,APR-1989.0,25.95,37.28055555555555
112,MAY-1989.0,28.13,75.22222222222223
113,JUN-1989.0,27.72,249.13888888888889
114,JUL-1989.0,26.96,351.8777777777778
115,AUG-1989.0,26.86,268.80833333333334
116,SEP-1989.0,26.38,192.51388888888889
117,OCT-1989.0,24.84,73.47222222222223
118,NOV-1989.0,21.8,28.216666666666665
119,DEC-1989.0,19.23,15.27222222222222
120,JAN-1990.0,18.56,11.691666666666666
121,FEB-1990.0,20.33,39.85277777777778
122,MAR-1990.0,22.79,47.458333333333336
123,APR-1990.0,26.15,45.41111111111111
124,MAY-1990.0,27.71,151.6138888888889
125,JUN-1990.0,28.11,244.5055555555556
126,JUL-1990.0,27.06,338.93611111111113
127,AUG-1990.0,26.99,339.23333333333335
128,SEP-1990.0,26.55,210.69722222222222
129,OCT-1990.0,24.51,117.83333333333333
130,NOV-1990.0,22.08,43.61666666666667
131,DEC-1990.0,19.78,23.458333333333332
132,JAN-1991.0,17.99,12.394444444444444
133,FEB-1991.0,20.43,21.1
134,MAR-1991.0,23.58,25.444444444444443
135,APR-1991.0,26.13,50.72777777777778
136,MAY-1991.0,28.35,83.90277777777777
137,JUN-1991.0,28.17,262.59166666666664
138,JUL-1991.0,27.59,351.7111111111111
139,AUG-1991.0,26.88,296.92777777777775
140,SEP-1991.0,26.65,160.175
141,OCT-1991.0,24.56,80.98888888888888
142,NOV-1991.0,21.6,34.44444444444444
143,DEC-1991.0,19.44,19.827777777777776
144,JAN-1992.0,18.36,18.266666666666666
145,FEB-1992.0,19.77,18.352777777777778
146,MAR-1992.0,22.95,21.211111111111112
147,APR-1992.0,26.21,23.77777777777778
148,MAY-1992.0,27.75,72.84444444444445
149,JUN-1992.0,28.4,201.03611111111113
150,JUL-1992.0,27.31,323.78055555555557
151,AUG-1992.0,26.78,330.4138888888889
152,SEP-1992.0,26.11,180.45277777777778
