LOOKUP_ID,FUND_IN_UNIVERSE,UNCOVERED_FUNDS,FUND_FINANCED_CARBON_EMISSIONS,FUND_FINANCED_CARBON_EMISSIONS_COVERAGE,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_EVIC_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_TOT_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_TOT_EVIC_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_EVIC_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_EVIC_INTEN_COV,FUND_FOSS_FUEL_SECT_EXP_PCT,FUND_FOSSIL_FUEL_REVENUES_PCT,FUND_GREEN_REVENUES_PCT,FUND_GREEN_FFB_REV_RATIO,FUND_OIL_GAS_ANY_TIE,FUND_EXP_TO_OG_REV_REFINING,FUND_THERMAL_COAL_ANY_TIE,FUND_WEIGHTED_AVG_CARBON_INTEN,FUND_WEIGHTED_AVG_CARBON_INTEN_COVERAGE,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_SALES_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_DOWN_SALES_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_TOTAL_SALES_INTEN,FUND_CARBON_EMISSIONS_SCOPE_3_TOTAL_SALES_INTEN_COV,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_INTEN_PROF,FUND_CARBON_EMISSIONS_SCOPE_3_UPST_INTEN_PROF_COV,FUND_WEIGHTED_AVG_SOV_CARBON_INTEN,FUND_WEIGHTED_AVG_SOV_CARBON_INTEN_COVERAGE,FUND_IMPLIED_TEMP_RISE_OVERSHOOT,FUND_IMPLIED_TEMP_RISE_BUDGET,FUND_IMPLIED_TEMP_RISE,FUND_IMPLIED_TEMP_RISE_COVERAGE,FUND_PERC_LOW_CARB_VALUE_COV,FUND_CBN_LCT_MGMT_SCORE_QUART_1,FUND_CARBON_EMISSIONS_CLEANER_ENERGY_SOURCES,FUND_PERC_LOW_CARB_VALUE
UFD000000001275160,TRUE,TRUE,24.6311266,36.94369514,150.5322307,36.83762679,268.5431501,36.83762679,118.0109194,36.83762679,3.718596825,0.51342607,2.2029151,4.290617927,3.718596825,0,1.501502389,42.50635844,59.94161809,645.9518876,53.09789508,829.9972304,53.09789508,184.0453428,53.09789508,324.8376408,21.6459208,490.6796204,7750.271197,2.1,36.94369514,26.3131252,36.65267195,52.93322815,3.73387134
UFD000000001228853,TRUE,TRUE,96.11742481,74.37031555,371.5548003,74.37031555,532.0997892,74.37031555,160.5449889,74.37031555,20.45190678,5.04888822,7.43279022,1.472163751,20.45190678,2.77197036,8.585228778,190.2233309,89.15263729,506.7903904,89.15263729,798.2879944,89.15263729,291.497604,89.15263729,186.1009427,3.171147567,664.9940161,13926.38564,2.1,74.37031555,59.3263899,60.3535053,84.66086991,11.35677772
UFD000000001536424,TRUE,TRUE,null,0,null,0,null,0,null,0,0,0,0,null,0,0,0,6,1.1451,53.26060098,1.1451,158.9177209,1.1451,105.6571199,1.1451,568.4898413,87.2568,null,null,null,null,0,0,0,null
UFD000000001225433,TRUE,TRUE,7.28342265,98.41789199,0.26242823,98.41789199,22.877973,98.41789199,22.61554476,98.41789199,0,0,10.32949372,null,0,0,0,90.22872601,98.41789199,2.91503778,98.41789199,239.8177585,98.41789199,236.9027208,98.41789199,255.8351627,0.369928597,-960.1451748,2092.396942,1.7,98.41789199,22.48427501,53.96184181,91.1604482,2.60401734
UFD000000001325049,TRUE,TRUE,92.96084695,41.58801943,402.3496967,41.54948245,535.9705502,41.54948245,133.6208535,41.54948245,6.118905559,1.38059104,2.85420204,2.067376911,6.118823357,0.72056758,3.442759944,114.6878841,53.63682545,566.1357524,53.63598924,760.3928554,53.63598924,194.2571029,53.63598924,206.0995284,38.64251015,4794.48488,12890.54935,2.4,41.54075416,28.9572211,34.17579419,49.11732211,9.61353806
UFD000000001507230,TRUE,TRUE,274.9965142,98.55937498,2853.908688,98.55937498,3166.471,98.55937498,312.5623123,98.55937498,97.66150818,70.37587621,3.57110156,0.050743262,97.66150818,32.07522702,0.782437405,505.4352041,98.9677049,3102.605322,98.957459,3425.516871,98.957459,322.9115492,98.957459,175.8888127,0.056045638,76724.04702,29761.32989,4.1,98.55937498,86.74969386,53.48529234,96.14550656,14.5647034
UFD000000001333322,TRUE,TRUE,43.35055493,65.75804284,65.57465952,65.75804284,105.7992351,65.75804284,40.22457553,65.75804284,3.544181979,0.89202941,4.66926924,5.234434188,3.544181979,0,3.26805085,149.4843872,70.30542139,330.5717348,70.30542139,513.7550327,70.30542139,183.1832979,70.30542139,226.5390391,3.686041102,-231.5136659,4564.901375,2,65.75804284,34.86310245,35.65186314,58.75872768,1.93441177
UFD000000001173390,TRUE,TRUE,11.43866205,98.89100222,27.95240166,98.89100222,86.64176885,98.89100222,58.68936718,98.89100222,3.760492479,0,2.45865372,null,3.760492479,0,0,50.51067122,98.89100222,102.9474806,98.89100222,355.3064528,98.89100222,252.3589722,98.89100222,null,0,-1888.102028,5599.275469,1.8,98.89100222,82.75493449,64.26827146,93.03031394,4.59678062
UFD000000001530193,TRUE,TRUE,63.79665378,99.88365706,252.7044117,99.09388088,319.8919773,99.09388088,67.18756563,99.09388088,27.43280871,4.98158394,3.3637407,0.675235174,27.43280871,0.97303635,9.086912266,322.8925359,99.88365706,536.7457773,99.09388088,758.3854245,99.09388088,221.6396472,99.09388088,null,0,10022.28958,7928.660233,3.1,99.09388088,79.13912203,53.09056506,91.18186286,4.73716991
UFD000000001418191,TRUE,TRUE,84.44380382,83.93076567,551.5773723,81.93305891,712.385867,81.93305891,160.8084946,81.93305891,25.58017495,9.83405081,4.27070046,0.434276835,25.58017495,7.75553432,3.980378188,147.6829256,83.93076567,566.0290554,81.93305891,794.24842,81.93305891,228.2193646,81.93305891,null,0,887.3500643,17548.1258,2.1,81.93305891,75.80643211,56.05534738,77.63567067,18.2068021
UFD000000014748000,TRUE,TRUE,53.6245033,93.46088501,584.6714306,92.55249682,674.999408,92.55249682,90.32797742,92.55249682,11.73904739,5.50014192,2.01268178,0.365932699,10.60126218,1.27103845,1.969374398,128.4009747,93.46088501,1103.808425,92.92089203,1375.841594,92.92089203,272.0331689,92.92089203,162.4099943,0.423594493,11504.3063,8261.857204,3.2,92.92089203,67.846518,52.53561704,89.85773185,7.96381546
UFD000000014749822,TRUE,TRUE,5.72580612,98.5348,40.1198827,98.5348,78.38977374,98.5348,38.26989104,98.5348,0,0,5.99594059,null,0,0,0,30.20941951,98.5348,181.210929,98.5348,387.5945663,98.5348,206.3836373,98.5348,null,0,null,null,null,null,96.4254,54.7955,96.1737,2.43993899
