Datafeed Field_ID,Factor Name,Description,Data Level,Coverage,Units,Typical Data Sources,Pillar Tags,Thematic Tags,MSCI Model Tags,Data Type,Record Type,Datatype in snowflake,Created Date,Last Updated Date,Asset Id,Dataset,Data Category,Package,Snowflake View
FUND_SDG15_STRONG_MISALIGN_PCT,Fund SDG 15 Strongly Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 15 (Life on Land) based on the nature of their product and services and their operational alignment to the goal (e.g. large volumes of production-related waste) and their involvement in controversies (e.g. controversies related to pollution and adverse impact on land and communities).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,83d2d779-decf-4503-9d84-4a88277e1978,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_EXP_TO_POLLUT_PREVEN_PCT,Fund Weighted Average Exposure to Pollution Prevention Revenue (%),"Fund exposure to Pollution Prevention is the weighted average of each issuer's percent of revenue generated from goods and services that alleviate the burden of unsustainable waste generation, including waste minmization or recycling.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,371103f8-1b33-435c-b5d7-60fc5e0cb8ce,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG14_NEUTRAL_PCT,Fund SDG 14 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 14 (Life Below Water) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,afb1550c-3d3b-4d2f-8daf-c6656d7092e7,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG15_MISALIGN_PCT,Fund SDG 15 Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned with SDG 15 (Life on Land) based on the nature of their product and services  and their operational alignment to the goal (e.g. large volumes of production-related waste) and their involvement in controversies (e.g. controversies related to pollution and adverse impact on land and communities).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,ae1dec4b-8707-4753-95a8-d6e4832b2a9e,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SANITARY_PROD_INVOLV_PCT,Fund Sanitation Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from sanitation goods and services. Additionally, sanitation revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,2c194f7b-4e74-43d4-9787-b4b7c44216b5,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG13_ANY_MISALIGN_PCT,Fund SDG 13 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 13 (Climate Action) based on the nature of their product and services (e.g. fossil fuels) and their operational alignment to the goal (e.g. locked-in fossil fuel reserves) and their involvement in controversies (e.g. controversies related to climate change).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,ddb0d5b3-353f-46c6-b493-f9ef2ac4bed3,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG12_STRONG_MISALIGN_PCT,Fund SDG 12 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 12 (Responsible Consumption and Production) based on its revenue from fossil fuels (e.g. generation, exploration, mining, production and turbines) and their operational alignment to the goal (e.g. involvement in resource-intensive activities) and their involvement in controversies (e.g. controversies related to environmental violations).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,173202b2-2e0e-4790-8bc9-c15589f41974,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG14_STRONG_MISALIGN_PCT,Fund SDG 14 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 14 (Life Below Water) based on the extent of its revenue from plastic resin and plastic packaging manufacturing, involvement in commercial fishing, offshore drilling, and controversies related to diverse impact on marine ecology.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,15618cf1-1238-4037-b4fe-1cb69ad6fefc,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG09_ANY_MISALIGN_PCT,Fund SDG 09 Any Misalignment (%),"The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 09 (Industry, Innovation and Infrastructure) based on the nature of their product and services and their operational alignment to the goal (e.g. controversies related to business ethics and investments).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,76a7c8b2-c16f-41ae-8fe1-1a48022d7b1d,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG09_ALIGN_PCT,Fund SDG 09 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 09 (Industry, Innovation and Infrastructure) based on the nature of their product and services (e.g. SME financing and connectivity) and their operational alignment to the goal (e.g. resource efficiency initiatives) and their involvement in controversies (e.g. controversies related to business ethics and investments).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,b1c9792a-08c9-41b8-b435-6dc88b7c7a88,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
