,Date
0,2007-10-01
1,2007-11-01
2,2007-12-01
3,2008-01-01
4,2008-02-01
5,2008-03-01
6,2008-04-01
7,2008-05-01
8,2008-06-01
9,2008-07-01
10,2008-08-01
11,2008-09-01
12,2008-10-01
13,2008-11-01
14,2008-12-01
15,2009-01-01
16,2009-02-01
17,2009-03-01
18,2009-04-01
19,2009-05-01
20,2009-06-01
21,2009-07-01
22,2009-08-01
23,2009-09-01
24,2009-10-01
25,2009-11-01
26,2009-12-01
27,2010-01-01
28,2010-02-01
29,2010-03-01
30,2010-04-01
31,2010-05-01
32,2010-06-01
33,2010-07-01
34,2010-08-01
35,2010-09-01
36,2010-10-01
37,2010-11-01
38,2010-12-01
39,2011-01-01
40,2011-02-01
41,2011-03-01
42,2011-04-01
43,2011-05-01
44,2011-06-01
45,2011-07-01
46,2011-08-01
47,2011-09-01
48,2011-10-01
49,2011-11-01
50,2011-12-01
51,2012-01-01
52,2012-02-01
53,2012-03-01
54,2012-04-01
55,2012-05-01
56,2012-06-01
57,2012-07-01
58,2012-08-01
59,2012-09-01
60,2012-10-01
61,2012-11-01
62,2012-12-01
63,2013-01-01
64,2013-02-01
65,2013-03-01
66,2013-04-01
67,2013-05-01
68,2013-06-01
69,2013-07-01
70,2013-08-01
71,2013-09-01
72,2013-10-01
73,2013-11-01
74,2013-12-01
75,2014-01-01
76,2014-02-01
77,2014-03-01
78,2014-04-01
79,2014-05-01
80,2014-06-01
81,2014-07-01
82,2014-08-01
83,2014-09-01
84,2014-10-01
85,2014-11-01
86,2014-12-01
87,2015-01-01
88,2015-02-01
89,2015-03-01
90,2015-04-01
91,2015-05-01
92,2015-06-01
93,2015-07-01
94,2015-08-01
95,2015-09-01
96,2015-10-01
97,2015-11-01
98,2015-12-01
99,2016-01-01
100,2016-02-01
101,2016-03-01
102,2016-04-01
103,2016-05-01
104,2016-06-01
105,2016-07-01
106,2016-08-01
107,2016-09-01
108,2016-10-01
109,2016-11-01
110,2016-12-01
111,2017-01-01
112,2017-02-01
113,2017-03-01
114,2017-04-01
115,2017-05-01
116,2017-06-01
117,2017-07-01
118,2017-08-01
119,2017-09-01
120,2017-10-01
121,2017-11-01
122,2017-12-01
