,Month-Year,Temperature
0,JAN-1970.0,18.72
1,FEB-1970.0,20.39
2,MAR-1970.0,23.28
3,APR-1970.0,27.17
4,MAY-1970.0,28.71
5,JUN-1970.0,27.86
6,JUL-1970.0,27.25
7,AUG-1970.0,26.84
8,SEP-1970.0,26.31
9,OCT-1970.0,24.81
10,NOV-1970.0,21.32
11,DEC-1970.0,18.52
12,JAN-1971.0,18.12
13,FEB-1971.0,19.99
14,MAR-1971.0,23.29
15,APR-1971.0,26.48
16,MAY-1971.0,27.58
17,JUN-1971.0,27.58
18,JUL-1971.0,26.87
19,AUG-1971.0,26.53
20,SEP-1971.0,26.03
21,OCT-1971.0,24.39
22,NOV-1971.0,21.21
23,DEC-1971.0,18.84
24,JAN-1972.0,18.4
25,FEB-1972.0,18.73
26,MAR-1972.0,23.43
27,APR-1972.0,25.85
28,MAY-1972.0,28.08
29,JUN-1972.0,28.7
30,JUL-1972.0,27.37
31,AUG-1972.0,26.76
32,SEP-1972.0,26.26
33,OCT-1972.0,24.27
34,NOV-1972.0,21.91
35,DEC-1972.0,19.46
36,JAN-1973.0,18.51
37,FEB-1973.0,20.98
38,MAR-1973.0,23.33
39,APR-1973.0,27.54
40,MAY-1973.0,28.71
41,JUN-1973.0,28.62
42,JUL-1973.0,27.54
43,AUG-1973.0,26.61
44,SEP-1973.0,26.44
45,OCT-1973.0,24.43
46,NOV-1973.0,21.46
47,DEC-1973.0,18.7
48,JAN-1974.0,17.79
49,FEB-1974.0,19.28
50,MAR-1974.0,23.91
51,APR-1974.0,27.01
52,MAY-1974.0,27.81
53,JUN-1974.0,27.89
54,JUL-1974.0,27.07
55,AUG-1974.0,26.91
56,SEP-1974.0,26.21
57,OCT-1974.0,24.65
58,NOV-1974.0,21.31
59,DEC-1974.0,18.17
60,JAN-1975.0,17.71
61,FEB-1975.0,19.67
62,MAR-1975.0,22.78
63,APR-1975.0,26.39
64,MAY-1975.0,28.16
65,JUN-1975.0,27.72
66,JUL-1975.0,26.48
67,AUG-1975.0,26.47
68,SEP-1975.0,25.63
69,OCT-1975.0,24.65
70,NOV-1975.0,20.76
71,DEC-1975.0,18.51
72,JAN-1976.0,18.2
73,FEB-1976.0,19.54
74,MAR-1976.0,22.98
75,APR-1976.0,25.92
76,MAY-1976.0,27.94
77,JUN-1976.0,27.86
78,JUL-1976.0,27.34
79,AUG-1976.0,26.21
80,SEP-1976.0,26.08
81,OCT-1976.0,24.92
82,NOV-1976.0,22.47
83,DEC-1976.0,19.35
84,JAN-1977.0,18.35
85,FEB-1977.0,20.34
86,MAR-1977.0,24.45
87,APR-1977.0,26.38
88,MAY-1977.0,27.26
89,JUN-1977.0,28.04
90,JUL-1977.0,27.26
91,AUG-1977.0,26.88
92,SEP-1977.0,26.33
93,OCT-1977.0,24.86
94,NOV-1977.0,22.7
95,DEC-1977.0,19.35
96,JAN-1978.0,18.14
97,FEB-1978.0,19.76
98,MAR-1978.0,22.46
99,APR-1978.0,26.44
100,MAY-1978.0,28.92
101,JUN-1978.0,28.42
102,JUL-1978.0,27.04
103,AUG-1978.0,26.8
104,SEP-1978.0,26.23
105,OCT-1978.0,24.94
106,NOV-1978.0,22.18
107,DEC-1978.0,19.53
108,JAN-1979.0,18.97
109,FEB-1979.0,19.97
110,MAR-1979.0,22.75
111,APR-1979.0,27.2
112,MAY-1979.0,27.97
113,JUN-1979.0,28.83
114,JUL-1979.0,27.72
115,AUG-1979.0,27.24
116,SEP-1979.0,26.38
117,OCT-1979.0,25.23
118,NOV-1979.0,22.75
119,DEC-1979.0,19.79
120,JAN-1980.0,18.81
121,FEB-1980.0,20.47
122,MAR-1980.0,23.24
123,APR-1980.0,27.55
124,MAY-1980.0,28.94
125,JUN-1980.0,28.25
126,JUL-1980.0,27.33
127,AUG-1980.0,26.93
128,SEP-1980.0,26.55
129,OCT-1980.0,25.12
130,NOV-1980.0,22.15
131,DEC-1980.0,19.23
132,JAN-1981.0,18.4
133,FEB-1981.0,20.44
134,MAR-1981.0,23.26
135,APR-1981.0,26.65
136,MAY-1981.0,28.51
137,JUN-1981.0,28.4
138,JUL-1981.0,27.28
139,AUG-1981.0,26.85
140,SEP-1981.0,26.36
141,OCT-1981.0,24.74
142,NOV-1981.0,21.43
143,DEC-1981.0,18.87
144,JAN-1982.0,18.76
145,FEB-1982.0,19.52
146,MAR-1982.0,22.37
147,APR-1982.0,26.15
148,MAY-1982.0,27.72
149,JUN-1982.0,28.2
150,JUL-1982.0,27.68
151,AUG-1982.0,26.98
152,SEP-1982.0,26.4
153,OCT-1982.0,24.89
154,NOV-1982.0,21.84
155,DEC-1982.0,19.33
156,JAN-1983.0,18.38
157,FEB-1983.0,19.81
158,MAR-1983.0,22.68
159,APR-1983.0,25.67
160,MAY-1983.0,28.02
161,JUN-1983.0,28.6
162,JUL-1983.0,27.51
163,AUG-1983.0,27.14
164,SEP-1983.0,26.48
165,OCT-1983.0,24.56
166,NOV-1983.0,21.5
167,DEC-1983.0,19.08
168,JAN-1984.0,18.28
169,FEB-1984.0,19.42
170,MAR-1984.0,23.98
171,APR-1984.0,26.66
172,MAY-1984.0,28.88
173,JUN-1984.0,28.43
174,JUL-1984.0,26.94
175,AUG-1984.0,27.17
176,SEP-1984.0,25.83
177,OCT-1984.0,24.65
178,NOV-1984.0,21.47
179,DEC-1984.0,19.34
180,JAN-1985.0,18.67
181,FEB-1985.0,20.54
182,MAR-1985.0,24.6
183,APR-1985.0,27.02
184,MAY-1985.0,28.52
185,JUN-1985.0,28.05
186,JUL-1985.0,27.06
187,AUG-1985.0,26.9
188,SEP-1985.0,26.45
189,OCT-1985.0,24.33
190,NOV-1985.0,21.51
191,DEC-1985.0,19.68
192,JAN-1986.0,18.24
193,FEB-1986.0,20.0
194,MAR-1986.0,23.53
195,APR-1986.0,26.53
196,MAY-1986.0,27.75
197,JUN-1986.0,28.19
198,JUL-1986.0,27.3
